자치구,등록년도,공사명,공사위치,X좌표,Y좌표
성동구,2019,뚝섬 부영복합빌딩 신축공사,서울시 성동구 성수동1가 685-701,203830.61,449268.719999
중랑구,2019,서울 양원지구 C-2BL 금강펜테리음 아파트 신축공사,서울시 중랑구 신내동,208774.0,456259.599999
광진구,2019,e편한세상 광진 그랜드파크 공동주택 신축공사,서울시 광진구 화양동,206306.8,449664.799999
강서구,2019,가양역 지식산업센터 신축공사,서울시 강서구 등촌동 628-9외 2필지,187230.41,451178.119999
중랑구,2019,서울 양원 힐데스하임 참좋은 아파트 신축공사,서울시 중랑구 망우동,209181.2,455109.999999
송파구,2019,위례신도시 A1-2BL 공동주택 신축공사,서울시 송파구 거여동,212672.8,444172.399999
성동구,2019,한숲 e-편한세상 신축공사,서울시 성동구 성수동,203831.2,449135.999999
노원구,2019,동부간선도로 확장공사(1공구),서울시 노원구 월계동,205560.8,457815.599999
관악구,2019,남현동 도원회관 신축공사,서울시 관악구 남현동,198040.4,441681.599999
강북구,2019,수유동 주거 복합 신축공사,강북구 수유동230-4외12필지,202060.92,459724.439999
구로구,2019,G밸리 G-Square 개발사업 신축공사,서울시 구로구 구로동 832번지 일대,190740.72,442276.009999
성동구,2019,한양대학교 대운동장 인조잔디구장 조성 지하주차장 신축공사,서울시 성동구 왕십리로222,204118.62,450554.359999
